TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
d_d011027,예소담,제주특별자치도,제주시,조천읍,11.0,2.0,2.0,2.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,엔폴리우드,제주특별자치도,제주시,조천읍,11.0,1.0,1.0,1.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,항아리조림,제주특별자치도,제주시,구좌읍,11.0,4.0,4.0,4.0,60.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,비케이브,제주특별자치도,제주시,조천읍,11.0,5.0,4.0,4.0,120.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d011027,김여사네,제주특별자치도,제주시,조천읍,11.0,3.0,3.0,3.0,30.0,0,d011027,21,여,30,2,1,4,3,3,1,3,2,7,1.0,3,2
d_d004486,한라산아래첫마을 제주민속촌점,제주특별자치도,서귀포시,표선면,11.0,5.0,5.0,5.0,60.0,0,d004486,9,여,30,4,4,4,1,1,7,6,2,7,3.0,1,2
d_d004486,사부작10,제주특별자치도,서귀포시,대정읍,11.0,4.0,3.0,3.0,30.0,0,d004486,9,여,30,4,4,4,1,1,7,6,2,7,3.0,1,2
d_d005235,마레벤또,제주특별자치도,제주시,애월읍,11.0,5.0,5.0,5.0,30.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,안도르,제주특별자치도,제주시,구좌읍,11.0,5.0,4.0,5.0,270.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,먹고정,제주특별자치도,서귀포시,서귀동,11.0,5.0,5.0,5.0,60.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,십년후애,제주특별자치도,서귀포시,동홍동,11.0,4.0,4.0,4.0,90.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,오가네 전복설렁탕 함덕점,제주특별자치도,제주시,조천읍,11.0,5.0,5.0,5.0,30.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,몰고랑몸국,제주특별자치도,서귀포시,서홍동,11.0,4.0,4.0,4.0,30.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,카페글렌코,제주특별자치도,제주시,구좌읍,11.0,5.0,5.0,5.0,90.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,몽상드애월,제주특별자치도,제주시,애월읍,11.0,5.0,5.0,5.0,30.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
d_d005235,오후새우시,제주특별자치도,서귀포시,중문동,11.0,5.0,5.0,5.0,60.0,0,d005235,12,여,30,4,4,4,5,5,4,4,7,6,9.0,2,1
b_b002249,대게마루,부산,해운대구,중동,11.0,5.0,5.0,5.0,150.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,점순이네밥집,경남,거제시,장목면,11.0,5.0,5.0,5.0,60.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,블랙업커피 거제한화리조트점,경남,거제시,장목면,11.0,5.0,5.0,5.0,60.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,디스커버리카페,경남,거제시,장목면,11.0,4.0,4.0,4.0,90.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,한화리조트 거제벨버디어,경남,거제시,장목면,11.0,5.0,5.0,5.0,60.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,W181,경남,거제시,장목면,11.0,5.0,5.0,5.0,90.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,한화리조트 거제벨버디어 고메이,경남,거제시,장목면,11.0,5.0,5.0,5.0,30.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
b_b002249,아이스크림먹는곰,경남,거제시,장목면,11.0,5.0,5.0,5.0,30.0,0,b002249,23,여,30,8,1,1,4,1,1,4,7,4,3.0,5,6
d_d007864,드르쿰다in성산,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,60.0,0,d007864,23,남,20,4,2,1,3,1,5,3,2,2,9.0,4,1
d_d004972,난산리 식당,제주특별자치도,서귀포시,성산읍,11.0,3.0,2.0,3.0,60.0,0,d004972,2,남,40,2,1,4,1,4,4,4,5,7,3.0,5,2
d_d007019,아리,제주특별자치도,서귀포시,서홍동,11.0,5.0,5.0,5.0,60.0,0,d007019,10,여,20,4,4,1,3,3,4,5,4,3,2.0,2,1
d_d007019,허니문하우스,제주특별자치도,서귀포시,토평동,11.0,3.0,2.0,3.0,30.0,0,d007019,10,여,20,4,4,1,3,3,4,5,4,3,2.0,2,1
d_d007019,헬로우보일링크랩,제주특별자치도,서귀포시,서호동,11.0,5.0,5.0,5.0,90.0,1,d007019,10,여,20,4,4,1,3,3,4,5,4,3,2.0,2,1
d_d007019,함쉐프키친,제주특별자치도,서귀포시,대포동,11.0,4.0,4.0,4.0,60.0,0,d007019,10,여,20,4,4,1,3,3,4,5,4,3,2.0,2,1
d_d007019,커피맛이멜로,제주특별자치도,서귀포시,안덕면,11.0,5.0,5.0,5.0,30.0,0,d007019,10,여,20,4,4,1,3,3,4,5,4,3,2.0,2,1
d_d000499,남촌,제주특별자치도,제주시,오라일동,11.0,3.0,2.0,2.0,30.0,0,d000499,28,여,40,4,2,2,2,2,1,4,5,6,7.0,3,0
d_d000499,독고집 성산본점,제주특별자치도,서귀포시,성산읍,11.0,5.0,4.0,4.0,60.0,0,d000499,28,여,40,4,2,2,2,2,1,4,5,6,7.0,3,0
d_d000499,드르쿰다in성산,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,60.0,0,d000499,28,여,40,4,2,2,2,2,1,4,5,6,7.0,3,0
d_d000499,만담,제주특별자치도,서귀포시,안덕면,11.0,3.0,2.0,2.0,60.0,0,d000499,28,여,40,4,2,2,2,2,1,4,5,6,7.0,3,0
d_d012306,라움이즈,제주특별자치도,서귀포시,대정읍,11.0,2.0,1.0,1.0,60.0,0,d012306,22,여,20,3,3,2,2,6,6,1,2,7,6.0,1,0
d_d008058,파리바게뜨 제주화순점,제주특별자치도,서귀포시,안덕면,11.0,3.0,3.0,3.0,30.0,0,d008058,2,남,40,10,4,1,6,1,1,4,3,3,3.0,4,2
d_d008058,숯불덮밥화리,제주특별자치도,제주시,애월읍,11.0,5.0,5.0,5.0,60.0,0,d008058,2,남,40,10,4,1,6,1,1,4,3,3,3.0,4,2
d_d008058,유군짬뽕,제주특별자치도,제주시,아라이동,11.0,1.0,5.0,5.0,60.0,0,d008058,2,남,40,10,4,1,6,1,1,4,3,3,3.0,4,2
d_d008058,알동네집 화순점,제주특별자치도,서귀포시,안덕면,11.0,5.0,5.0,5.0,90.0,0,d008058,2,남,40,10,4,1,6,1,1,4,3,3,3.0,4,2
