SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
경기,골든튤립에버 용인호텔,용인시,처인구,24.0,60.0,4.666666666666667,0.3333333333333333,1.3333333333333333,4.333333333333333
경기,여주마조렐글램핑리조트,여주시,멱곡동,24.0,270.0,4.0,0.5,3.0,4.0
경기,평화누리캠핑장,파주시,문산읍,24.0,142.5,2.0,1.0,2.0,2.0
서울,그랜드하얏트서울,용산구,한남동,24.0,162.0,3.6,0.8,1.6,3.4
제주특별자치도,오션하우스,서귀포시,안덕면,24.0,465.0,4.0,0.5,1.0,4.0
제주특별자치도,아리아호텔,서귀포시,색달동,24.0,110.0,4.333333333333333,0.0,1.3333333333333333,3.6666666666666665
제주특별자치도,또랑게스트하우스,제주시,아라일동,24.0,492.0,3.8,0.2,0.4,4.0
경기,호텔로젠하임,고양시,일산동구,24.0,135.0,4.0,0.0,1.0,4.0
서울,뉴서울호텔,중구,태평로1가,24.0,360.0,5.0,1.0,0.0,5.0
경기,곤지암리조트,광주시,도척면,24.0,210.0,5.0,0.5,2.0,5.0
서울,켄싱턴호텔 여의도,영등포구,여의도동,24.0,30.0,5.0,0.0,1.0,5.0
경기,김포캠핑파크,김포시,월곶면,24.0,930.0,5.0,0.0,6.0,5.0
경기,e편한세상시티미사오피스텔,하남시,망월동,24.0,135.0,4.0,0.25,1.0,4.0
서울,머큐어 앰배서더 서울 홍대,마포구,동교동,24.0,165.0,5.0,0.0,0.0,5.0
서울,롯데시티호텔 명동,중구,장교동,24.0,120.0,5.0,0.0,1.0,5.0
경기,코트야드 바이 메리어트 수원,수원시,영통구,24.0,40.0,5.0,0.0,0.0,5.0
서울,서울숲스테이,성동구,성수동1가,24.0,620.0,4.0,0.3333333333333333,3.0,4.0
서울,유원호텔,서초구,서초동,24.0,60.0,5.0,0.0,1.0,5.0
서울,비스타워커힐 서울,광진구,광장동,24.0,144.0,5.0,0.6,1.2,5.0
서울,케이팝하우스,중구,남창동,24.0,45.0,1.0,0.5,0.0,1.0
서울,그랜드젬모텔,중랑구,망우동,24.0,225.0,3.0,0.5,0.0,3.5
경기,호텔도노,수원시,팔달구,24.0,90.0,4.0,0.0,1.0,4.0
서울,센터마크호텔,종로구,관훈동,24.0,30.0,4.666666666666667,1.0,2.0,4.666666666666667
서울,인터컨티넨탈 서울코엑스,강남구,삼성동,24.0,120.0,3.5,0.0,1.0,3.5
경기,소노휴 양평,양평군,개군면,24.0,110.0,5.0,0.6666666666666666,3.0,5.0
경기,라마다앙코르바이윈덤 김포한강호텔,김포시,고촌읍,24.0,110.0,3.6666666666666665,0.3333333333333333,1.0,3.6666666666666665
충남,신라스테이 천안,천안시,서북구,24.0,150.0,4.333333333333333,0.0,1.0,4.333333333333333
충남,리버모텔,논산시,반월동,24.0,240.0,2.5,0.0,1.0,2.5
인천,MY24모텔,중구,사동,24.0,120.0,3.5,0.5,1.0,3.0
경기,얼레이호텔,용인시,기흥구,24.0,90.0,2.0,0.0,1.0,1.0
경기,서머셋센트럴분당,성남시,분당구,24.0,330.0,5.0,0.0,1.0,5.0
서울,드림게스트하우스,중구,남창동,24.0,90.0,5.0,0.0,0.0,5.0
경기,호반베르디움더프라임아파트,시흥시,목감동,24.0,240.0,4.5,1.0,0.0,4.5
서울,이비스스타일 앰배서더 명동,중구,충무로2가,24.0,160.0,4.0,1.0,0.0,4.0
서울,보코서울강남,강남구,논현동,24.0,170.0,4.666666666666667,0.3333333333333333,1.0,4.666666666666667
경기,킨텍스바이케이트리,고양시,일산서구,24.0,240.0,5.0,0.8,2.0,5.0
경기,자라섬캠핑장,가평군,가평읍,24.0,150.0,3.75,0.25,1.0,3.75
경기,화성게스트하우스,수원시,팔달구,24.0,120.0,3.0,0.0,0.0,3.0
경기,모네하우스펜션,가평군,상면,24.0,60.0,5.0,0.0,4.0,5.0
경기,라이브러리스테이 지지향,파주시,문발동,24.0,520.0,5.0,0.6666666666666666,0.0,5.0
경기,에스호텔,부천시,심곡동,24.0,705.0,4.5,0.5,2.5,4.0
서울,노보텔앰배서더 서울동대문호텔&레지던스,중구,을지로6가,24.0,120.0,5.0,0.0,3.0,5.0
서울,더블라썸,마포구,연남동,24.0,382.5,3.0,0.75,4.0,3.0
경기,리디자인호텔,용인시,기흥구,24.0,165.0,5.0,0.0,1.0,5.0
서울,서머셋팰리스 서울,종로구,수송동,24.0,795.0,5.0,0.0,1.0,5.0
서울,이비스앰배서더호텔 인사동,종로구,익선동,24.0,45.0,5.0,1.0,1.0,5.0
서울,모텔대경,중구,을지로6가,24.0,270.0,3.0,0.5,0.0,3.0
서울,콘래드 서울,영등포구,여의도동,24.0,140.0,4.666666666666667,0.3333333333333333,1.0,4.333333333333333
서울,AC호텔 바이 메리어트 서울강남,강남구,역삼동,24.0,30.0,5.0,0.5,1.0,5.0
부산,토요코인호텔 부산서면,부산진구,전포동,24.0,90.0,5.0,0.0,0.5,5.0
서울,호텔베뉴지,종로구,관수동,24.0,45.0,3.5,0.5,2.0,3.5
서울,집나온거북이,종로구,묘동,24.0,60.0,3.333333333333333,0.6666666666666666,1.0,3.0
서울,호텔더메이,종로구,돈의동,24.0,90.0,4.0,0.0,1.0,5.0
서울,야코리아호스텔 동대문점,중구,신당동,24.0,195.0,3.0,0.875,0.0,3.0
경기,곤지암리조트 East빌리지,광주시,도척면,24.0,150.0,5.0,1.0,3.0,5.0
경기,롤링힐스호텔,화성시,남양읍,24.0,85.0,4.166666666666667,0.1666666666666666,2.0,4.166666666666667
서울,라비타호텔,강남구,청담동,24.0,120.0,2.0,0.0,0.0,2.0
서울,삼정호텔,강남구,역삼동,24.0,375.0,3.5,0.75,1.0,3.5
서울,머스트스테이호텔 명동점,중구,남창동,24.0,75.0,1.0,0.0,1.0,1.0
전북,마리호텔,익산시,송학동,24.0,150.0,4.0,0.0,0.5,4.0
서울,서울올림픽파크텔,송파구,방이동,24.0,45.0,4.0,0.0,3.0,4.0
경기,인터라켄펜션,가평군,청평면,24.0,120.0,5.0,0.0,1.0,5.0
서울,더스테이트 선유,영등포구,양평동5가,24.0,60.0,4.0,0.5,0.0,3.0
서울,호텔더디자이너스 종로점,종로구,관수동,24.0,165.0,3.0,0.0,2.0,3.0
서울,롯데호텔월드,송파구,잠실동,24.0,285.0,5.0,0.0,2.0,5.0
서울,나인트리프리미어호텔 인사동,종로구,관훈동,24.0,354.0,4.2,0.6,2.0,4.4
서울,그랜드인터컨티넨탈 서울파르나스,강남구,삼성동,24.0,135.0,5.0,0.0,1.0,5.0
서울,호텔리베라 청담,강남구,청담동,24.0,120.0,4.333333333333333,0.3333333333333333,3.0,4.666666666666667
경기,호텔가덴,수원시,권선구,24.0,60.0,3.5,0.5,1.0,3.5
경기,퀸스타운애견펜션,양평군,단월면,24.0,1230.0,2.5,0.5,3.0,2.5
인천,풀문호텔,중구,북성동1가,24.0,70.0,4.333333333333333,0.3333333333333333,0.6666666666666666,4.0
서울,이비스스타일앰배서더 서울강남,강남구,대치동,24.0,105.0,4.5,0.0,0.0,4.0
경기,해밀호텔,수원시,팔달구,24.0,105.0,3.5,0.0,1.0,3.5
서울,메이필드호텔 서울,강서구,외발산동,24.0,80.0,4.333333333333333,0.0,3.0,4.333333333333333
