SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,로즈마린,서귀포시,서홍동,11.0,75.0,5.0,0.5,0.0,5.0
제주특별자치도,제주에인감귤밭,서귀포시,호근동,11.0,90.0,4.333333333333333,0.0,1.0,3.6666666666666665
제주특별자치도,오르바,서귀포시,보목동,11.0,60.0,5.0,0.5,0.5,5.0
제주특별자치도,돌담흑돼지 중문,서귀포시,색달동,11.0,60.0,5.0,0.0,2.5,5.0
제주특별자치도,귤꽃다락,서귀포시,서호동,11.0,90.0,4.666666666666667,0.0,2.0,4.5
제주특별자치도,맛존디 본점,서귀포시,호근동,11.0,45.0,4.0,0.0,2.0,4.0
제주특별자치도,홉히워크룸,서귀포시,법환동,11.0,30.0,4.5,0.5,0.6666666666666666,4.166666666666667
제주특별자치도,제주약수터 올레시장점,서귀포시,서귀동,11.0,45.0,4.25,0.0,1.0,4.0
제주특별자치도,속골,서귀포시,호근동,11.0,70.0,5.0,0.3333333333333333,2.6666666666666665,5.0
제주특별자치도,와룽발리,서귀포시,법환동,11.0,60.0,4.5,0.0,1.0,4.5
제주특별자치도,드림회센터,서귀포시,서귀동,11.0,75.0,4.0,0.0,1.0,4.0
제주특별자치도,플레이커피랩,서귀포시,서귀동,11.0,45.0,3.75,0.25,0.5,4.0
제주특별자치도,미영이네식당,서귀포시,대정읍,11.0,78.0,4.8,0.3333333333333333,1.9333333333333331,4.533333333333333
제주특별자치도,먹돌 제주본점,제주시,용담이동,11.0,50.0,4.666666666666667,0.0,2.333333333333333,4.666666666666667
제주특별자치도,수리코,제주시,한경면,11.0,60.0,4.666666666666667,0.0,1.6666666666666667,4.666666666666667
제주특별자치도,바당국수,서귀포시,서귀동,11.0,45.0,4.5,0.0,0.0,4.0
제주특별자치도,민경이네어등포해녀촌,제주시,구좌읍,11.0,50.0,3.333333333333333,0.0,1.3333333333333333,2.6666666666666665
제주특별자치도,풍림다방 송당점,제주시,구좌읍,11.0,42.85714285714285,4.0,0.2857142857142857,0.4285714285714285,3.4285714285714284
제주특별자치도,해맞이쉼터,제주시,구좌읍,11.0,30.0,5.0,0.0,0.0,5.0
제주특별자치도,형제섬보말칼국수,서귀포시,대정읍,11.0,30.0,3.6666666666666665,0.3333333333333333,1.0,3.6666666666666665
제주특별자치도,릴로,제주시,구좌읍,11.0,55.0,4.166666666666667,0.5,0.3333333333333333,4.166666666666667
제주특별자치도,카페책자국,제주시,구좌읍,11.0,75.0,4.5,0.0,0.0,4.5
제주특별자치도,공회당,제주시,구좌읍,11.0,160.0,5.0,0.0,0.3333333333333333,5.0
제주특별자치도,장승포식당,서귀포시,성산읍,11.0,42.0,4.0,0.0,0.6,4.0
제주특별자치도,투썸플레이스 제주애월한담점,제주시,애월읍,11.0,40.0,3.333333333333333,0.0,1.0,3.333333333333333
제주특별자치도,중문고등어쌈밥 제주점,서귀포시,상예동,11.0,60.0,4.333333333333333,0.0,2.0,4.333333333333333
제주특별자치도,카페브릭,서귀포시,안덕면,11.0,60.0,4.666666666666667,0.0,0.3333333333333333,4.666666666666667
제주특별자치도,외도339,제주시,외도이동,11.0,75.0,4.5,0.25,2.25,4.25
제주특별자치도,조림명가,서귀포시,서귀동,11.0,30.0,3.0,0.0,0.0,3.0
제주특별자치도,갈치공장,제주시,구좌읍,11.0,66.0,5.0,0.2,1.4,5.0
제주특별자치도,삼다도횟집 본점,제주시,용담삼동,11.0,60.0,4.0,0.0,2.5,3.5
제주특별자치도,성산흑돼지두루치기,서귀포시,성산읍,11.0,60.0,4.5,0.0,2.0,4.0
