SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,숙성도 애월점,제주시,애월읍,11.0,70.0,5.0,0.0,1.0,5.0
제주특별자치도,범일분식,서귀포시,남원읍,11.0,60.0,4.0,0.0,0.5,4.0
제주특별자치도,맥도날드 탑동점,제주시,건입동,11.0,30.0,3.6666666666666665,0.0,2.0,3.6666666666666665
제주특별자치도,어멍횟집,서귀포시,성산읍,11.0,70.0,5.0,0.0,0.3333333333333333,5.0
제주특별자치도,돈나무흑돼지,제주시,연동,11.0,60.0,4.0,0.0,1.5,4.5
제주특별자치도,산노루,제주시,한경면,11.0,105.0,4.0,0.0,0.5,4.0
제주특별자치도,쉼표,제주시,한림읍,11.0,105.0,4.0,0.0,0.0,4.0
제주특별자치도,제주신화월드 한라원,서귀포시,안덕면,11.0,105.0,1.5,0.0,1.5,1.0
제주특별자치도,장수애섬식당,서귀포시,서귀동,11.0,60.0,4.5,0.0,0.5,4.5
제주특별자치도,가락국수,제주시,연동,11.0,120.0,2.5,0.0,3.0,2.5
제주특별자치도,홀리데이홀릭,제주시,조천읍,11.0,60.0,5.0,0.0,1.0,5.0
제주특별자치도,Pickus 피커스,제주시,오등동,11.0,90.0,3.5,0.0,5.5,3.5
제주특별자치도,소길다방,제주시,애월읍,11.0,60.0,4.5,0.0,1.0,4.5
제주특별자치도,단소,제주시,애월읍,11.0,67.5,4.75,0.0,0.75,4.5
제주특별자치도,오늘의바다,서귀포시,법환동,11.0,45.0,4.0,0.0,0.5,4.5
제주특별자치도,한라식당,제주시,이도2동,11.0,45.0,4.0,0.0,4.0,4.0
제주특별자치도,동복분식,제주시,구좌읍,11.0,60.0,5.0,0.6666666666666666,0.3333333333333333,4.333333333333333
제주특별자치도,금돈가,제주시,애월읍,11.0,60.0,3.0,0.0,1.0,3.0
제주특별자치도,몬스터살롱,제주시,애월읍,11.0,60.0,5.0,0.5,1.0,5.0
제주특별자치도,중문국수나라,서귀포시,중문동,11.0,45.0,3.0,0.0,1.0,3.0
제주특별자치도,오하효,서귀포시,하효동,11.0,75.0,4.0,0.5,0.0,4.0
제주특별자치도,바다멍,제주시,한림읍,11.0,120.0,3.0,0.0,0.5,3.0
제주특별자치도,신화테라스,서귀포시,안덕면,11.0,90.0,4.0,0.0,2.0,4.0
제주특별자치도,협재해물라면 쪼꼴락상회,제주시,한림읍,11.0,45.0,4.5,0.0,0.5,4.0
제주특별자치도,펜고호다 pengohoda,제주시,애월읍,11.0,75.0,5.0,0.0,1.0,5.0
제주특별자치도,화로위,제주시,조천읍,11.0,60.0,4.5,0.5,1.5,4.5
제주특별자치도,논짓물,제주시,연동,11.0,60.0,5.0,0.0,1.0,5.0
제주특별자치도,푸더매 제주,제주시,구좌읍,11.0,60.0,3.0,0.0,0.5,3.5
제주특별자치도,오리프,서귀포시,남원읍,11.0,60.0,4.666666666666667,0.0,1.3333333333333333,4.666666666666667
제주특별자치도,금능해장국,제주시,한림읍,11.0,60.0,4.0,0.5,1.0,4.0
제주특별자치도,식물집카페,서귀포시,서호동,11.0,45.0,4.5,0.0,1.0,5.0
제주특별자치도,모다정,제주시,구좌읍,11.0,45.0,4.0,0.5,1.0,4.0
제주특별자치도,돈걱정,제주시,애월읍,11.0,60.0,3.0,0.0,3.0,3.5
제주특별자치도,풍로,서귀포시,안덕면,11.0,90.0,4.25,0.0,1.25,3.75
제주특별자치도,지미스,제주시,우도면,11.0,30.0,3.333333333333333,0.0,1.3333333333333333,3.333333333333333
제주특별자치도,둘레길 중문본점,서귀포시,중문동,11.0,50.0,3.6666666666666665,0.0,0.6666666666666666,3.0
제주특별자치도,회양과국수군,제주시,우도면,11.0,60.0,3.5,0.0,2.5,3.5
제주특별자치도,다정이네김밥 서귀포신시가지점,서귀포시,강정동,11.0,30.0,3.5,0.25,0.5,3.5
제주특별자치도,일본라멘집 유라유라,서귀포시,서귀동,11.0,30.0,5.0,0.5,0.5,4.5
